coop	retail	companyB	automotive	3	0.00015789473684210527	0.0006666666666666666
fiat	automotive	amaris	consulting	1	5.263157894736842e-06	0.00016666666666666666
iveco	automotive	companyA	automotive	2	5.882352941176471e-05	0.0011111111111111111
companyB	automotive	bosch	technology	1	0.00022222222222222223	7.1942446043165465e-06
armani	fation	companyB	automotive	4	0.0006153846153846154	0.0008888888888888889
mclaren	automotive	alfa	automotive	1	0.0002632964718272775	1.1627906976744185e-05
unibo	academia	bosch	technology	1	0.00017001020061203673	7.1942446043165465e-06
mercedes	automotive	companyA	automotive	6	3.4883720930232556e-05	0.0033333333333333335
bmw	automotive	fca	automotive	1	7.751937984496124e-06	5.291005291005291e-06
accenture	consulting	beiersdorf	manufacturing	1	1.6025641025641025e-06	5e-05
marelli	automotive	mclaren	automotive	1	2.325581395348837e-05	0.0002632964718272775
politecnico di milano	academia	avl	automotive	1	0.00021226915729144556	0.002
renault	automotive	accenture	consulting	1	5.524861878453038e-06	1.6025641025641025e-06
hermes	fation	companyB	automotive	2	0.00013986013986013986	0.00044444444444444447
ht	technology	marelli	automotive	2	0.05	4.651162790697674e-05
fiat	automotive	azimut	banking	1	5.263157894736842e-06	0.0012048192771084338
bosch	technology	trw	automotive	1	7.1942446043165465e-06	1.6666666666666667e-05
altran	consulting	aston	automotive	1	0.0003333333333333333	0.00040816326530612246
gabbana	fation	companyB	automotive	1	0.00044543429844097997	0.00022222222222222223
tesla	automotive	companyA	automotive	1	1.0101010101010101e-05	0.0005555555555555556
kpmg	consulting	coesia	packaging	1	4.566210045662101e-06	0.000125
porsche	automotive	volvo	automotive	1	3.7037037037037037e-05	1.201923076923077e-05
piaggio	automotive	companyA	automotive	3	0.0005	0.0016666666666666668
azimut	banking	companyB	automotive	1	0.0012048192771084338	0.00022222222222222223
turin polytechnic	academia	iveco	automotive	1	0.00019634792852935403	2.9411764705882354e-05
companyC	automotive	companyB	automotive	27	0.09	0.006
jaguar	automotive	companyC	automotive	1	0.0001	0.0033333333333333335
mercedes	automotive	bmw	automotive	1	5.813953488372093e-06	7.751937984496124e-06
volvo	automotive	aston	automotive	1	1.201923076923077e-05	0.00040816326530612246
avio	aerospace	companyA	automotive	3	0.000576923076923077	0.0016666666666666668
toyota	automotive	mercedes	automotive	1	3.003003003003003e-06	5.813953488372093e-06
dana	automotive	companyB	automotive	2	6.451612903225807e-05	0.00044444444444444447
cranfield university	academia	companyB	automotive	1	0.0005555555555555556	0.00022222222222222223
baxi	technology	companyB	automotive	1	0.0014285714285714286	0.00022222222222222223
tor vergata	academia	pwc	consulting	1	0.0004347826086956522	4e-06
lotus	automotive	rover	automotive	2	0.0013449899125756557	0.0003333333333333333
apple	technology	companyA	automotive	2	1.0526315789473684e-05	0.0011111111111111111
calzedonia	fation	companyB	automotive	1	2.9411764705882354e-05	0.00022222222222222223
unibo	academia	companyE	automotive	1	0.00017001020061203673	0.0005263157894736842
alma	automotive	companyE	automotive	1	0.023809523809523808	0.0005263157894736842
lotus	automotive	companyA	automotive	1	0.0006724949562878278	0.0005555555555555556
alenia	aerospace	coop	retail	1	0.0001361285053090117	5.2631578947368424e-05
fca	automotive	accenture	consulting	1	5.291005291005291e-06	1.6025641025641025e-06
porsche	automotive	valeo	automotive	1	3.7037037037037037e-05	1.0893246187363834e-05
companyA	automotive	tesla	automotive	1	0.0005555555555555556	1.0101010101010101e-05
brembo	automotive	companyB	automotive	1	9.09090909090909e-05	0.00022222222222222223
marelli	automotive	companyA	automotive	12	0.00027906976744186045	0.006666666666666667
mitsubishi	automotive	companyA	automotive	1	6.849315068493151e-06	0.0005555555555555556
altran	consulting	companyA	automotive	2	0.0006666666666666666	0.0011111111111111111
stellantis	automotive	companyA	automotive	4	1e-05	0.0022222222222222222
alstom	automotive	companyC	automotive	1	0.00028571428571428574	0.0033333333333333335
renault	automotive	companyB	automotive	4	2.2099447513812153e-05	0.0008888888888888889
italdesign	technology	companyA	automotive	2	0.002014098690835851	0.0011111111111111111
hpe	technology	companyC	automotive	1	1.6666666666666667e-05	0.0033333333333333335
bonfiglioli	manufacturing	morris	tobacco	1	0.00025	1.2195121951219513e-05
toro rosso	automotive	companyB	automotive	3	0.005	0.0006666666666666666
companyB	automotive	fpt	automotive	2	0.00044444444444444447	0.0002380952380952381
bugatti	automotive	companyA	automotive	3	0.01	0.0016666666666666668
azimut	banking	nissan	automotive	1	0.0012048192771084338	7.3529411764705884e-06
teoresi	technology	companyA	automotive	1	0.00125	0.0005555555555555556
mechinno	technology	companyB	automotive	1	0.0044444444444444444	0.00022222222222222223
porsche	automotive	pirelli	automotive	2	7.407407407407407e-05	6.349206349206349e-05
dana	automotive	capgemini	consulting	1	3.2258064516129034e-05	2.9411764705882355e-06
politecnico di milano	academia	ht	technology	1	0.00021226915729144556	0.025
volvo	automotive	companyA	automotive	3	3.605769230769231e-05	0.0016666666666666668
stmicroelectronics	technology	altran	consulting	1	2.173913043478261e-05	0.0003333333333333333
companyE	automotive	mclaren	automotive	1	0.0005263157894736842	0.0002632964718272775
capgemini	consulting	companyB	automotive	1	2.9411764705882355e-06	0.00022222222222222223
companyE	automotive	pirelli	automotive	1	0.0005263157894736842	3.1746031746031745e-05
porsche	automotive	toyota	automotive	1	3.7037037037037037e-05	3.003003003003003e-06
nissan	automotive	companyB	automotive	2	1.4705882352941177e-05	0.00044444444444444447
